1.295	1773.661	78.299
2.581	1753.119	78.304
3.863	1733.441	78.294
5.145	1729.102	78.297
6.427	1755.593	78.300
7.710	1747.627	78.299
8.992	1764.492	78.293
10.272	1750.305	78.299
11.553	1795.390	78.297
12.835	1738.932	78.301
14.117	1766.475	78.298
15.398	1762.475	78.302
16.680	1762.407	78.337
17.964	1779.475	78.455
19.246	1765.119	78.711
20.527	1745.475	78.847
21.806	1761.542	79.084
23.086	1763.593	79.168
24.369	1773.729	79.412
25.650	1747.034	79.626
27.026	1749.831	79.877
28.304	1729.169	80.195
29.582	1745.051	80.480
30.859	1798.102	80.663
32.136	1775.814	80.719
33.415	1797.407	81.135
34.694	1765.915	81.374
35.974	1795.492	81.455
37.253	1791.237	81.772
38.533	1774.814	82.146
39.814	1816.271	82.320
41.096	1791.576	82.535
42.374	1757.678	82.787
43.651	1781.627	82.697
44.930	1798.136	82.900
46.207	1805.932	83.072
47.485	1752.966	83.236
48.762	1773.034	83.490
50.040	1826.559	83.736
51.317	1796.085	83.867
52.691	1797.847	83.842
53.968	1799.898	84.014
55.249	1771.186	84.002
56.530	1784.000	84.304
57.808	1785.339	84.441
59.085	1799.678	84.496
60.362	1763.627	84.691
61.640	1772.915	84.881
62.918	1777.390	84.997
64.196	1785.932	85.166
65.473	1776.085	85.396
66.751	1798.559	85.527
68.028	1792.898	85.679
69.308	1785.966	85.723
70.589	1766.407	85.759
71.868	1812.898	85.864
73.148	1773.305	85.940
74.427	1807.322	86.090
75.705	1790.203	86.206
76.986	1798.831	86.361
78.363	1766.780	86.564
79.641	1771.712	86.582
80.919	1790.797	86.707
82.198	1779.203	86.774
83.476	1804.797	86.825
84.757	1801.729	86.775
86.039	1799.525	86.881
87.321	1793.441	86.991
88.601	1803.610	87.033
89.880	1807.915	87.099
91.158	1800.322	87.167
92.434	1812.458	87.058
93.710	1822.068	87.155
94.985	1795.780	87.267
96.261	1806.373	87.336
97.537	1788.068	87.341
98.813	1784.949	87.408
100.092	1815.932	87.379
101.373	1783.068	87.473
102.651	1817.678	87.431
104.028	1783.610	87.440
105.306	1793.102	87.550
106.584	1782.085	87.643
107.860	1795.136	87.712
109.137	1832.678	87.774
110.413	1787.153	87.892
111.689	1822.169	87.935
112.964	1803.847	87.993
114.241	1829.475	88.102
115.519	1800.627	88.188
116.799	1795.576	88.232
118.077	1806.915	88.278
119.354	1801.797	88.299
120.631	1799.237	88.358
121.907	1783.763	88.337
123.183	1822.441	88.389
124.466	1797.729	88.453
125.746	1782.034	88.525
127.021	1793.271	88.543
128.297	1771.220	88.618
129.678	1807.932	88.703
130.957	1805.237	88.630
132.235	1797.915	88.715
133.513	1744.915	88.769
134.792	1792.051	88.881
136.070	1785.390	88.920
137.348	1824.797	89.018
138.626	1820.949	89.050
139.903	1816.085	89.148
141.181	1825.373	89.242
142.460	1795.881	89.345
143.739	1771.864	89.432
145.018	1784.949	89.469
146.299	1789.102	88.244
147.577	1796.441	85.201
148.853	1785.797	81.290
150.129	1786.305	78.800
151.405	1764.983	78.464
152.680	1769.356	78.398
152.956	1755.729	78.377
